Issue_Type	Issue_ID	Chromosome	Accession_1	Accession_2	Report_Type	Summary	Status	Status_Text	Description	Experiment_Type	Update	External_Information_Type	Resolution_Summary	Resolution_Information	Patch_Type	Fixed_in_Version	Affected_Version	Patch_GenBank_Accession	Patch_RefSeq_Accession	Patch_Region_Name	Shortform_Location_Information
Gap	ZG-3150	10	BX897671.5	CT573197.7	TPF Analysis	"There is a gap in the chromosome between components BX897671.5 and CT573197.7"	Resolved	"none"	"There is a gap in the chromosome between components BX897671.5 and CT573197.7"	Clone Sequencing	2015-07-23T17:45:37.000-0400	na	GRC-Gap Update	"This region has changed based on new mapping information so this gap no longer exists"	na	GRCz10	Zv9	na	na	na	MAPPED:@:CM002894.1:@:NC_007121.6:@:CHROMOSOME:@:24951455:@:25453538:@:5:@@@:BX897671:::7:@@@:CT573197:@:component:@:component:@:GRCz10:@:GCA_000002035.3:@:GCF_000002035.5:@:latest::@@::MAPPED:@:CU651613.3:@:NC_007121.5:@:CHROMOSOME:@:25558779:@:26049681:@:5:@@@:BX897671:::7:@@@:CT573197:@:component:@:component:@:Zv9:@:GCA_000002035.2:@:GCF_000002035.4:@:old
Gap	ZG-3153	10	BX248233.7	FQ323123.3	TPF Analysis	"There is a gap in the chromosome between components BX248233.7 and FQ323123.3"	Awaiting Exptl Data	"27-MAR-13: CH1073-420O12 contigs have been ordered and orientated\nCH1073-295K12 has been selected for sequencing \n16-MAR-13: CH1073-142K15 is completed sequence, HTGS phase 3\n28-FEB-13: CH1073-295K12 is completed sequence, HTGS phase 3\nAccession for CH1073-142K15: FQ323105\nAccession for CH1073-295K12: FO082026\nAccession for CH1073-420O12: FO681339"	"There is a gap in the chromosome between components BX248233.7 and FQ323123.3"	Clone Sequencing	2014-08-19T10:19:44.000-0400	na	Unresolved	"na"	na	na	Zv9	na	na	na	MAPPED:@:CM002894.1:@:NC_007121.6:@:CHROMOSOME:@:34676858:@:34923231:@:7:@@@:BX248233:::3:@@@:FQ323123:@:component:@:alignment:@:GRCz10:@:GCA_000002035.3:@:GCF_000002035.5:@:latest::@@::NOT MAPPED:@:na:@:na:@:na:@:na:@:na:@:na:@@@:na:::na:@@@:na:@:na:@:na:@:Zv9:@:GCA_000002035.2:@:GCF_000002035.4:@:old
Gap	ZG-3157	10	BX663516.23	BX537273.16	TPF Analysis	"There is a gap in the chromosome between components BX663516.23 and BX537273.16"	Continuing Investigation	"New clones need to be identified to cover this region"	"There is a gap in the chromosome between components BX663516.23 and BX537273.16"	Clone Sequencing	2015-07-23T17:45:42.000-0400	na	Unresolved	"na"	na	na	Zv9	na	na	na	MAPPED:@:CM002894.1:@:NC_007121.6:@:CHROMOSOME:@:35653753:@:36019485:@:23:@@@:BX663516:::16:@@@:BX537273:@:component:@:component:@:GRCz10:@:GCA_000002035.3:@:GCF_000002035.5:@:latest::@@::MAPPED:@:CU651613.3:@:NC_007121.5:@:CHROMOSOME:@:36798225:@:37164182:@:23:@@@:BX663516:::16:@@@:BX537273:@:component:@:component:@:Zv9:@:GCA_000002035.2:@:GCF_000002035.4:@:old
Gap	ZG-3158	10	FP236276.8	CU896636.15	TPF Analysis	"There is a gap in the chromosome between components FP236276.8 and CU896636.15"	Resolved	"none"	"There is a gap in the chromosome between components FP236276.8 and CU896636.15"	Clone Sequencing	2015-11-11T04:59:23.000-0500	na	GRC Resolved by Experimental Method	"LO018336.1 closes the gap between FP236276.8 and CU896636.15"	na	GRCz11	Zv9	na	na	na	MAPPED:@:CM002894.1:@:NC_007121.6:@:CHROMOSOME:@:38625415:@:38775525:@:8:@@@:FP236276:::15:@@@:CU896636:@:component:@:component:@:GRCz10:@:GCA_000002035.3:@:GCF_000002035.5:@:latest::@@::NOT MAPPED:@:na:@:na:@:na:@:na:@:na:@:na:@@@:na:::na:@@@:na:@:na:@:na:@:Zv9:@:GCA_000002035.2:@:GCF_000002035.4:@:old::@@::NOT MAPPED:@:na:@:na:@:na:@:na:@:na:@:na:@@@:na:::na:@@@:na:@:na:@:na:@:Zv9:@:GCA_000002035.2:@:GCF_000002035.4:@:old
Gap	ZG-3159	10	CU633836.6	BX927333.11	TPF Analysis	"There is a gap in the chromosome between components CU633836.6 and BX927333.11"	Awaiting Exptl Data	"12-APR-13: CH1073-441D21 is completed sequence, HTGS phase 3"	"There is a gap in the chromosome between components CU633836.6 and BX927333.11"	Clone Sequencing	2015-07-23T17:45:42.000-0400	na	Unresolved	"na"	na	na	Zv9	na	na	na	MAPPED:@:CM002894.1:@:NC_007121.6:@:CHROMOSOME:@:39957980:@:40152996:@:6:@@@:CU633836:::11:@@@:BX927333:@:component:@:component:@:GRCz10:@:GCA_000002035.3:@:GCF_000002035.5:@:latest::@@::MAPPED:@:CU651613.3:@:NC_007121.5:@:CHROMOSOME:@:41243354:@:41438941:@:6:@@@:CU633836:::11:@@@:BX927333:@:component:@:component:@:Zv9:@:GCA_000002035.2:@:GCF_000002035.4:@:old
Gap	ZG-3160	10	BX927333.11	AL953903.8	TPF Analysis	"There is a gap in the chromosome between components BX927333.11 and AL953903.8"	Awaiting Exptl Data	"26-MAR-13: CH1073-388D6 contigs have been ordered and orientated\nAccession for CH1073-388D6: FO681334"	"There is a gap in the chromosome between components BX927333.11 and AL953903.8"	Clone Sequencing	2015-07-23T17:45:59.000-0400	na	Unresolved	"na"	na	na	Zv9	na	na	na	MAPPED:@:CM002894.1:@:NC_007121.6:@:CHROMOSOME:@:40006829:@:40493155:@:11:@@@:BX927333:::8:@@@:AL953903:@:component:@:component:@:GRCz10:@:GCA_000002035.3:@:GCF_000002035.5:@:latest::@@::MAPPED:@:CU651613.3:@:NC_007121.5:@:CHROMOSOME:@:41292774:@:41780446:@:11:@@@:BX927333:::8:@@@:AL953903:@:component:@:component:@:Zv9:@:GCA_000002035.2:@:GCF_000002035.4:@:old
Gap	ZG-3161	10	CR384089.24	CR385083.14	TPF Analysis	"There is a gap in the chromosome between components CR384089.24 and CR385083.14"	Resolved	"none"	"There is a gap in the chromosome between components CR384089.24 and CR385083.14"	Clone Sequencing	2015-07-23T17:45:58.000-0400	na	GRC Resolved by Experimental Method	"FO704775.1 closes this gap"	na	GRCz10	Zv9	na	na	na	MAPPED:@:CM002894.1:@:NC_007121.6:@:CHROMOSOME:@:44098080:@:44346767:@:24:@@@:CR384089:::14:@@@:CR385083:@:component:@:component:@:GRCz10:@:GCA_000002035.3:@:GCF_000002035.5:@:latest::@@::MAPPED:@:CU651613.3:@:NC_007121.5:@:CHROMOSOME:@:45447017:@:45917540:@:24:@@@:CR384089:::14:@@@:CR385083:@:component:@:component:@:Zv9:@:GCA_000002035.2:@:GCF_000002035.4:@:old
Gap	ZG-3286	10	CU633885.4	CU633885.4	TPF Analysis	"There is a gap in the chromosome between components CU633885.4 and the telomere"	Awaiting Exptl Data	"ZFOS-2593D2 has been selected for sequencing \n14-FEB-12: ZFOS-2593D2 has been cancelled\n06-JAN-15: CH1073-277C17 has entered the sequencing pipeline\n14-FEB-12: ZFOS-2593D02 has been cancelled"	"There is a gap in the chromosome between components CU633885.4 and the telomere"	Clone Sequencing	2015-11-11T04:57:08.000-0500	na	Unresolved	"na"	na	na	Zv9	na	na	na	MAPPED:@:CM002894.1:@:NC_007121.6:@:CHROMOSOME:@:71178:@:111733:@:4:@@@:CU633885:::4:@@@:CU633885:@:component:@:component:@:GRCz10:@:GCA_000002035.3:@:GCF_000002035.5:@:latest::@@::MAPPED:@:CU651613.3:@:NC_007121.5:@:CHROMOSOME:@:172055:@:212610:@:4:@@@:CU633885:::4:@@@:CU633885:@:component:@:component:@:Zv9:@:GCA_000002035.2:@:GCF_000002035.4:@:old
Gap	ZG-3288	10	CU695198.7	CU695198.7	TPF Analysis	"There is a gap in the chromosome between components CU695198.7 and the telomere"	Resolved	"none"	"There is a gap in the chromosome between components CU695198.7 and the telomere"	Clone Sequencing	2015-07-23T17:45:51.000-0400	na	GRC-Gap Update	"Due to the addition of new sequence in this gap this ticket is being updated"	na	GRCz10	Zv9	na	na	na	MAPPED:@:CM002894.1:@:NC_007121.6:@:CHROMOSOME:@:45103434:@:45142326:@:7:@@@:CU695198:::7:@@@:CU695198:@:component:@:component:@:GRCz10:@:GCA_000002035.3:@:GCF_000002035.5:@:latest::@@::MAPPED:@:CU651613.3:@:NC_007121.5:@:CHROMOSOME:@:46370076:@:46407642:@:7:@@@:CU695198:::7:@@@:CU695198:@:component:@:component:@:Zv9:@:GCA_000002035.2:@:GCF_000002035.4:@:old
Path Problem	ZG-33	10	FQ311930.1	CR933018.9	TPF Analysis	"TPF shows the wrong order of clones"	Resolved	"none"	"FQ311930 doesn't overlap the clone it was expected to (BX897671) it does however overlap CR933018.\nThe TPF needs to be changed to reflect this"	na	2010-09-23T02:45:35.000-0400	na	GRC Resolved by Experimental Method	"TPF changed so that  FQ311930 overlaps CR933018"	na	GRCz10	na	na	na	na	MAPPED:@:CM002894.1:@:NC_007121.6:@:CHROMOSOME:@:24965863:@:25197967:@:1:@@@:FQ311930:::9:@@@:CR933018:@:alignment:@:alignment:@:GRCz10:@:GCA_000002035.3:@:GCF_000002035.5:@:latest
Gap	ZG-3635	10	CU694495.23	FP086611.7	TPF Analysis	"Chromosome 10 assembly gap (CU694495.23 - FP086611.7)"	Resolved	"none"	"Assembly gap between CU694495.23 (CH73-199I17) and FP086611.7 (ZFOS-2797F9)"	na	2015-07-23T17:45:32.000-0400	na	GRC-Gap Update	"This gap has changed due to clone repositioning. New Gap in ZG-5131"	na	GRCz10	Zv9	na	na	na	MAPPED:@:CM002894.1:@:NC_007121.6:@:CHROMOSOME:@:795966:@:980285:@:23:@@@:CU694495:::7:@@@:FP086611:@:component:@:component:@:GRCz10:@:GCA_000002035.3:@:GCF_000002035.5:@:latest::@@::MAPPED:@:CU651613.3:@:NC_007121.5:@:CHROMOSOME:@:792477:@:1073439:@:23:@@@:CU694495:::7:@@@:FP086611:@:component:@:component:@:Zv9:@:GCA_000002035.2:@:GCF_000002035.4:@:old
Gap	ZG-3636	10	FP086611.7	CU694269.11	TPF Analysis	"Chromosome 10 assembly gap (FP086611.7 - CU694269.11)"	Awaiting Exptl Data	"16-OCT-13: CH211-65A3 contigs have been ordered and orientated\nAccession for CH211-65A3: FO704646"	"Assembly gap between FP086611.7 (ZFOS-2797F9) and CU694269.11 (CH73-169F6)"	Clone Sequencing	2015-07-23T17:45:32.000-0400	na	Unresolved	"na"	na	na	Zv9	na	na	na	MAPPED:@:CM002894.1:@:NC_007121.6:@:CHROMOSOME:@:939767:@:1275295:@:7:@@@:FP086611:::11:@@@:CU694269:@:component:@:component:@:GRCz10:@:GCA_000002035.3:@:GCF_000002035.5:@:latest::@@::MAPPED:@:CU651613.3:@:NC_007121.5:@:CHROMOSOME:@:1032921:@:1280573:@:7:@@@:FP086611:::11:@@@:CU694269:@:component:@:component:@:Zv9:@:GCA_000002035.2:@:GCF_000002035.4:@:old
Gap	ZG-3637	10	CU694253.4	CU914531.4	TPF Analysis	"Chromosome 10 assembly gap (CU694253.4 - CU914531.4)"	Resolved	"none"	"Assembly gap between CU694253.4 (CH1073-440B24) and CU914531.4 (ZFOS-2432B12)"	Clone Sequencing	2013-12-18T04:52:19.000-0500	na	GRC Resolved by Electronic Means	"CU694253.4 and CU914531 overlap"	na	GRCz10	Zv9	na	na	na	MAPPED:@:CM002894.1:@:NC_007121.6:@:CHROMOSOME:@:1275396:@:1328185:@:4:@@@:CU694253:::4:@@@:CU914531:@:component:@:alignment:@:GRCz10:@:GCA_000002035.3:@:GCF_000002035.5:@:latest::@@::MAPPED:@:CU651613.3:@:NC_007121.5:@:CHROMOSOME:@:1280574:@:1364572:@:4:@@@:CU694253:::4:@@@:CU914531:@:component:@:component:@:Zv9:@:GCA_000002035.2:@:GCF_000002035.4:@:old
Gap	ZG-3638	10	CU914531.4	CU928210.4	TPF Analysis	"Chromosome 10 assembly gap (CU914531.4 - CU928210.4)"	Under Review	"none"	"Assembly gap between CU914531.4 (ZFOS-2432B12) and CU928210.4 (ZFOS-410G7)"	na	2013-12-18T09:30:11.000-0500	na	Unresolved	"na"	na	na	Zv9	na	na	na	MAPPED:@:CM002894.1:@:NC_007121.6:@:CHROMOSOME:@:1283833:@:1400204:@:4:@@@:CU914531:::4:@@@:CU928210:@:alignment:@:component:@:GRCz10:@:GCA_000002035.3:@:GCF_000002035.5:@:latest::@@::MAPPED:@:CU651613.3:@:NC_007121.5:@:CHROMOSOME:@:1325195:@:1454648:@:4:@@@:CU914531:::4:@@@:CU928210:@:component:@:component:@:Zv9:@:GCA_000002035.2:@:GCF_000002035.4:@:old
Gap	ZG-3639	10	CU914630.9	CU424461.7	TPF Analysis	"Chromosome 10 assembly gap (CU914630.9 - CU424461.7)"	Awaiting Exptl Data	"CH1073-374I19 has been cancelled\n06-JAN-15: CH1073-184B10 has entered the sequencing pipeline"	"Assembly gap between CU914630.9 (CH1073-391M17) and CU424461.7 (CH73-209L12)"	Clone Sequencing	2015-09-21T09:39:39.000-0400	na	Unresolved	"na"	na	na	Zv9	na	na	na	MAPPED:@:CM002894.1:@:NC_007121.6:@:CHROMOSOME:@:1391215:@:1544164:@:9:@@@:CU914630:::7:@@@:CU424461:@:alignment:@:component:@:GRCz10:@:GCA_000002035.3:@:GCF_000002035.5:@:latest::@@::MAPPED:@:CU651613.3:@:NC_007121.5:@:CHROMOSOME:@:1454649:@:1598608:@:9:@@@:CU914630:::7:@@@:CU424461:@:component:@:component:@:Zv9:@:GCA_000002035.2:@:GCF_000002035.4:@:old
Gap	ZG-3640	10	CU459021.15	CU915637.3	TPF Analysis	"Chromosome 10 assembly gap (CU459021.15 - CU915637.3)"	Awaiting Exptl Data	"18-NOV-13: CH73-179H15 contigs have been ordered and orientated\nAccession for CH73-179H15: FO704686"	"Assembly gap between CU459021.15 (CH73-46J18) and CU915637.3 (CH1073-190G7)"	Clone Sequencing	2014-04-03T09:43:27.000-0400	na	Unresolved	"na"	na	na	Zv9	na	na	na	MAPPED:@:CM002894.1:@:NC_007121.6:@:CHROMOSOME:@:1640484:@:1841989:@:15:@@@:CU459021:::3:@@@:CU915637:@:component:@:component:@:GRCz10:@:GCA_000002035.3:@:GCF_000002035.5:@:latest::@@::MAPPED:@:CU651613.3:@:NC_007121.5:@:CHROMOSOME:@:1694928:@:1898126:@:15:@@@:CU459021:::3:@@@:CU915637:@:component:@:component:@:Zv9:@:GCA_000002035.2:@:GCF_000002035.4:@:old
Gap	ZG-3641	10	CU914618.5	CU856539.6	TPF Analysis	"Chromosome 10 assembly gap (CU914618.5 - CU856539.6)"	Awaiting Exptl Data	"03-FEB-14: ZFOS-1709H4 contigs have been ordered and orientated\n03-FEB-14: ZFOS-1709H04 contigs have been ordered and orientated\nAccession for ZFOS-1709H04: FO704570\nAccession for ZFOS-1709H4: FO704570"	"Assembly gap between CU914618.5 (CH73-319A4) and CU856539.6 (CH211-75G10)"	Clone Sequencing	2014-06-11T01:35:37.000-0400	na	Unresolved	"na"	na	na	Zv9	na	na	na	MAPPED:@:CM002894.1:@:NC_007121.6:@:CHROMOSOME:@:2412264:@:2624944:@:5:@@@:CU914618:::6:@@@:CU856539:@:component:@:component:@:GRCz10:@:GCA_000002035.3:@:GCF_000002035.5:@:latest::@@::MAPPED:@:CU651613.3:@:NC_007121.5:@:CHROMOSOME:@:2466385:@:2677206:@:5:@@@:CU914618:::6:@@@:CU856539:@:component:@:component:@:Zv9:@:GCA_000002035.2:@:GCF_000002035.4:@:old
Gap	ZG-3642	10	CU468288.6	FP085363.7	TPF Analysis	"Chromosome 10 assembly gap (CU468288.6 - FP085363.7)"	Awaiting Exptl Data	"29-AUG-13: CH1073-212I7 is ready to enter the sequencing pipeline"	"Assembly gap between CU468288.6 (CH73-350B16) and FP085363.7 (CH73-171B11)"	Clone Sequencing	2015-11-11T04:55:30.000-0500	na	Unresolved	"na"	na	na	Zv9	na	na	na	MAPPED:@:CM002894.1:@:NC_007121.6:@:CHROMOSOME:@:2624945:@:2711119:@:6:@@@:CU468288:::7:@@@:FP085363:@:component:@:component:@:GRCz10:@:GCA_000002035.3:@:GCF_000002035.5:@:latest::@@::MAPPED:@:CU651613.3:@:NC_007121.5:@:CHROMOSOME:@:2677207:@:2765482:@:6:@@@:CU468288:::7:@@@:FP085363:@:component:@:component:@:Zv9:@:GCA_000002035.2:@:GCF_000002035.4:@:old
Gap	ZG-3643	10	CR394525.8	CU571089.6	TPF Analysis	"Chromosome 10 assembly gap (CR394525.8 - CU571089.6)"	Awaiting Exptl Data	"16-AUG-13: CH1073-64E18 is completed sequence, HTGS phase 3\nAccession for CH1073-64E18: FO681340"	"Assembly gap between CR394525.8 (DKEY-24N17) and CU571089.6 (DKEY-47A24)"	Clone Sequencing	2015-07-23T17:45:48.000-0400	na	Unresolved	"na"	na	na	Zv9	na	na	na	MAPPED:@:CM002894.1:@:NC_007121.6:@:CHROMOSOME:@:2797690:@:3083910:@:8:@@@:CR394525:::6:@@@:CU571089:@:component:@:component:@:GRCz10:@:GCA_000002035.3:@:GCF_000002035.5:@:latest::@@::MAPPED:@:CU651613.3:@:NC_007121.5:@:CHROMOSOME:@:2852053:@:3189974:@:8:@@@:CR394525:::6:@@@:CU571089:@:component:@:component:@:Zv9:@:GCA_000002035.2:@:GCF_000002035.4:@:old
