Issue_Type	Issue_ID	Chromosome	Accession_1	Accession_2	Report_Type	Summary	Status	Status_Text	Description	Experiment_Type	Update	External_Information_Type	Resolution_Summary	Resolution_Information	Patch_Type	Fixed_in_Version	Affected_Version	Patch_GenBank_Accession	Patch_RefSeq_Accession	Patch_Region_Name	Shortform_Location_Information
Clone Problem	HG-1211	10	AL732434.20	AL732434.20	User Report	"Possible inversion in AL732434.20 (ICI-14BB7)"	Resolved	"none"	"There may be an inversion within AL732434.20."	na	2015-07-23T17:13:53.000-0400	na	GRC Resolved by Electronic Means	"Inversion in the component caused by assembly error between two tandem repeats has been corrected. Updated version AL732434.21 contains the corrected assembly.\nThe new assembly is consistent with optical map information from cell lines GM10890, GM15510 and GM18994."	GRCh37:FIX	GRCh37.p7,GRCh37.p8,GRCh38	Build 36	JH591181.2	NW_003871068.1	10Q11	MAPPED:@:CM000672.1:@:NC_000010.10:@:CHROMOSOME:@:47008954:@:47069299:@:20:@@@:AL732434:::20:@@@:AL732434:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:JH591181.2:@:NW_003871068.1:@:ALT_SCAFFOLD:@:760961:@:2094411:@:20:@@@:AL732434:::20:@@@:AL732434:@:alignment:@:alignment:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:JH591181.2:@:NW_003871068.1:@:ALT_SCAFFOLD:@:760895:@:2094411:@:20:@@@:AL732434:::20:@@@:AL732434:@:alignment:@:alignment:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:CM000672.2:@:NC_000010.11:@:CHROMOSOME:@:46489780:@:47904515:@:20:@@@:AL732434:::20:@@@:AL732434:@:alignment:@:alignment:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
Clone Problem	HG-1265	10	AC067744.6	AC067744.6	User Report	"Issue reported from Web Site: Ns in assembly sequence"	Resolved	"none"	"An error occurs in GRCh37 at chr10:37412174.\nAn undefined 'N' is present in the reference assembly"	na	2013-10-18T06:50:14.000-0400	SAB Decision	GRC Resolved by Electronic Means	"Mini-contig KF459666.1 has been added to the GRCh38 reference assembly patching component AC067744.6 correcting an undefined 'N' in the reference."	na	GRCh38	na	na	na	na	MAPPED:@:CM000672.1:@:NC_000010.10:@:CHROMOSOME:@:37287763:@:37422278:@:6:@@@:AC067744:::6:@@@:AC067744:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:CM000672.2:@:NC_000010.11:@:CHROMOSOME:@:36998835:@:37133350:@:6:@@@:AC067744:::6:@@@:AC067744:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
Path Problem	HG-1271	10	AC012044.15	AL603966.9	TPF Analysis	"Possible path problem in GRCh37?"	Resolved	"none"	"TPF updates since GRCh37 suggest a possible path problem in this region of NC_000010.10"	na	2015-07-23T17:13:55.000-0400	na	GRC Resolved by Electronic Means	"The tiling path in the GRCh37 NC_000010.10 region between components AC012044.15 to AL603966.9 region was inconsistent with optical map data.\nThis issue was resolved via a substantial re-ordering and change of components so that the region now concurs with the optical map. The updated path can be viewed at:\nhttp://www.ncbi.nlm.nih.gov/projects/genome/assembly/overlap/tpfview.cgi?taxid=9606&amp;page=tpf&amp;assembly=reference&amp;chr=10.\nFor a more detailed description of the changes that were made, please contact the GRC, referencing issue HG-1271: http://www.ncbi.nlm.nih.gov/projects/genome/assembly/grc/contact.shtml."	GRCh37:FIX	GRCh37.p8,GRCh38	GRCh37	JH591181.2	NW_003871068.1	10Q11	MAPPED:@:CM000672.1:@:NC_000010.10:@:CHROMOSOME:@:46256855:@:49299273:@:15:@@@:AC012044:::9:@@@:AL603966:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:JH591181.2:@:NW_003871068.1:@:ALT_SCAFFOLD:@:32522:@:2281126:@:15:@@@:AC012044:::9:@@@:AL603966:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:CM000672.2:@:NC_000010.11:@:CHROMOSOME:@:45761407:@:48091230:@:15:@@@:AC012044:::9:@@@:AL603966:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
Gap	HG-1276	10	AL603965.10	AL390716.27	TPF Analysis	"Chr10 gap problem"	Resolved	"none"	"A gap in the chromosome exists between components AL603965.10 and AL390716.27"	na	2015-07-23T17:13:56.000-0400	na	GRC Resolved by Electronic Means	"AC244230.3 has been added to the TPF closing the gap between AL603965.10 and AL390716.27.\nBoth AL603965.10 and AL390716.27 are contained accessions under AC244230.3 and have been removed from the TPF."	na	GRCh37.p8,GRCh38	GRCh37	na	na	na	MAPPED:@:CM000672.1:@:NC_000010.10:@:CHROMOSOME:@:47069300:@:47792476:@:10:@@@:AL603965:::27:@@@:AL390716:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:CM000672.2:@:NC_000010.11:@:CHROMOSOME:@:46316430:@:46482156:@:10:@@@:AL603965:::27:@@@:AL390716:@:alignment:@:alignment:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
Gap	HG-1277	10	BX649215.1	AL603966.9	TPF Analysis	"Chr10 gap problem"	Awaiting Exptl Data	"06-SEP-14: ABC7-42404400C24 is completed sequence, HTGS phase 3\nAccession for ABC7-42404400C24: FO681492"	"A gap in the chromosome exists between components BX649215.1 and AL603966.9"	Clone Sequencing	2015-07-23T17:13:56.000-0400	na	Unresolved	"na"	na	na	GRCh37	na	na	na	MAPPED:@:CM000672.1:@:NC_000010.10:@:CHROMOSOME:@:47353892:@:49299273:@:1:@@@:BX649215:::9:@@@:AL603966:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:JH591181.2:@:NW_003871068.1:@:ALT_SCAFFOLD:@:1934987:@:2281126:@:1:@@@:BX649215:::9:@@@:AL603966:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:CM000672.2:@:NC_000010.11:@:CHROMOSOME:@:47663872:@:48091230:@:1:@@@:BX649215:::9:@@@:AL603966:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
Gap	HG-130	10	AL731572.9	AL672187.12	RefSeq Report	"GeneID: 8505 (PARG), missed join"	Resolved	"none"	"There are four partial alignments of the RefSeq NM_003631.2. Two of the hits are to components in a redundant manner suggesting that a join between AL672187 and AL731572 will represent the complete gene."	Clone Sequencing	2015-07-23T17:13:31.000-0400	Optical Map	GRC Resolved by Electronic Means	"Optical map information places AL672187 along with components AL450342 and AL589822 extending off from component AC012044.\nA gap exists between AL731572 and AL442003, this is consistent with the optical map information.\nInformation for the gap between AL731572 and AL442003 can be found in HG-1074"	na	GRCh38	Build 36	na	na	na	MAPPED:@:CM000672.1:@:NC_000010.10:@:CHROMOSOME:@:51028872:@:51398845:@:9:@@@:AL731572:::12:@@@:AL672187:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:CM000672.2:@:NC_000010.11:@:CHROMOSOME:@:45931517:@:49929364:@:9:@@@:AL731572:::12:@@@:AL672187:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
Variation	HG-1305	10	AL136368.24	AL136368.24	User Report	"Large scale sequencing/genotyping suggests two rare/wrong bases in RBM20"	Resolved	"none"	"Evidence from large-scale sequencing/genotyping efforts suggests that two bases in RBM20 may be represented by rare/wrong alleles in GRCh37. These bases are defined by rs1417635 and rs7070640."	na	2013-10-18T06:23:11.000-0400	SAB Decision	GRC Resolved by Electronic Means	"Mini-contigs KF459660.1 and KF459661.1 have been added the GRCh38 reference assembly patching component AL136368.14 and improving the alignment of RMB20 to the reference."	na	GRCh38	GRCh37	na	na	na	MAPPED:@:CM000672.1:@:NC_000010.10:@:CHROMOSOME:@:112508383:@:112644230:@:24:@@@:AL136368:::24:@@@:AL136368:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:CM000672.2:@:NC_000010.11:@:CHROMOSOME:@:110748625:@:110884472:@:24:@@@:AL136368:::24:@@@:AL136368:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
Variation	HG-1372	10	AL583836.18	AL133513.12	User Report	"Reference assembly representation of CYP2C19 is not the clinical standard"	Resolved	"none"	"The GRCh37 representation of CYP2C19 differs from the clinical standard for this gene."	na	2013-10-18T06:14:00.000-0400	na	GRC Resolved by Electronic Means	"Mini-contigs  KF459663.1, KF459665.1 and KF459664.1 have been added to the GRCh38 reference assembly patching components AL583836.18 and AL133513.12, changing the representation of CYP2C19 to match the clinical standard."	na	GRCh38	GRCh37	na	na	na	MAPPED:@:CM000672.1:@:NC_000010.10:@:CHROMOSOME:@:96439550:@:96688470:@:18:@@@:AL583836:::12:@@@:AL133513:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:CM000672.2:@:NC_000010.11:@:CHROMOSOME:@:94679793:@:94928713:@:18:@@@:AL583836:::12:@@@:AL133513:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
Variation	HG-1373	10	AL161645.14	AL161645.14	User Report	"Reference assembly representation of CYP2E1 is not the clinical standard"	Resolved	"none"	"The GRCh37 representation of CYP2E1 differs from the clinical standard for this gene."	na	2013-10-18T06:17:52.000-0400	na	GRC Resolved by Electronic Means	"Mini-contigs  KF459657.1 and KF459659.1 have been added to the GRCh38 reference assembly patching component AL161645.14, changing the representation of CYP2E1 to match the clinical standard."	na	GRCh38	GRCh37	na	na	na	MAPPED:@:CM000672.1:@:NC_000010.10:@:CHROMOSOME:@:135230864:@:135390507:@:14:@@@:AL161645:::14:@@@:AL161645:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:CM000672.2:@:NC_000010.11:@:CHROMOSOME:@:133417360:@:133577003:@:14:@@@:AL161645:::14:@@@:AL161645:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
Gap	HG-1449	10	AL845259.22	AL732375.18	TPF Analysis	"Chr 10 gap problem: DUX region"	Awaiting Exptl Data	"CH17-143F3 has been selected for sequencing for possible gap closure (this clone also being considered for the 4q DUX region: see HG-2023). 12-NOV-13: CH17-143F3 has entered the sequencing pipeline Accession for CH17-143F3: FO704911 15-JAN-16: FO704911.1 sequence is ~50% collapsed based on clone digest. Additional sequencing and assembly needed."	"A gap exists in the chromosome between AL845259.22 and AL732375.18. This gap splits the D4Z4 repeat at 10q and may also duplicate sequence in this region. The gap was inserted for GRCh38 due to a low quality alignment between AL845259.22 and AL732375.18."	Clone Sequencing	2016-01-15T16:16:04.000-0500	na	Unresolved	"na"	na	na	GRCh37	na	na	na	MAPPED:@:CM000672.1:@:NC_000010.10:@:CHROMOSOME:@:135466969:@:135514762:@:22:@@@:AL845259:::18:@@@:AL732375:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:CM000672.2:@:NC_000010.11:@:CHROMOSOME:@:133653465:@:133777437:@:22:@@@:AL845259:::18:@@@:AL732375:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
Gap	HG-145	10	AL772134.16	BX470155.5	RefSeq Report	"GeneID: 1793 (DOCK1), assembly gap"	Resolved	"none"	"There is a gap between BX470155.5 and AL772134.16.  Exon sequence for the 5' end of the NM_001380.3 is found in BX470155.5 and AL772134.16 but intronic sequence appears to be missing in the gap region."	Clone Sequencing	2013-10-18T06:42:49.000-0400	na	GRC Resolved by Experimental Method	"Finished components FP565787.4 and FP565175.2 along with RP11 WGS contig AUXG01000230.1 have been added to the GRCh38 reference assembly closing the gap between components AL772134.16 and BX470155.5."	na	GRCh39	Build 36	na	na	na	MAPPED:@:CM000672.1:@:NC_000010.10:@:CHROMOSOME:@:128605511:@:128769294:@:16:@@@:AL772134:::5:@@@:BX470155:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:CM000672.2:@:NC_000010.11:@:CHROMOSOME:@:126916942:@:126971030:@:16:@@@:AL772134:::5:@@@:BX470155:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
Gap	HG-1479	10	BX511297.2	AL732395.9	TPF Analysis	"FIX patch for GeneID: 55844 (PPP2R2D), assembly gap (right side)"	Resolved	"none"	"There is an assembly gap between BX511297.2 and AL732395.9 causing first exon of NM_018461.2 to be missing from the reference genome, originally described in HG-113. This duplicate Jira issue is being used to manage an update at this gap that is being considered for patch release."	na	2015-07-23T17:13:38.000-0400	na	GRC-Duplicate	"There is an assembly gap between BX511297.2 and AL732395.9 causing first exon of NM_018461.2 to be missing from the reference genome, originally described in HG-113. This duplicate Jira issue is being used to manage an update at this gap that is being considered for patch release."	GRCh37:FIX	GRCh37.p10	na	JH806580.1	NW_004070870.1	PPP2R2D	MAPPED:@:CM000672.1:@:NC_000010.10:@:CHROMOSOME:@:133665144:@:133781577:@:2:@@@:BX511297:::9:@@@:AL732395:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:CM000672.2:@:NC_000010.11:@:CHROMOSOME:@:131832808:@:131968073:@:2:@@@:BX511297:::9:@@@:AL732395:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
Clone Problem	HG-1541	10	AL391099.12	AL391099.12	Vega Report	"possible single base insertion disrupts potential coding gene CCNYL2"	Resolved	"none"	"A possible single base insertion of A disrupts the only potential coding variant of gene CCNYL2."	na	2013-01-24T11:52:11.000-0500	na	GRC Resolved- No Change	"The reference assembly is supported by draft BACs, AL591130.1 and AL391479.3, and HuRef scaffold, NW_001837940.1. There are no dbSNP records for a indel in the region 42941640-42941646 and data sets across all populations in the 1000 genomes study are also in agreement with the current reference assembly, suggesting that CCNYL2 is a pseudogene at this time."	na	GRCh38	GRCh37	na	na	na	MAPPED:@:CM000672.1:@:NC_000010.10:@:CHROMOSOME:@:42879687:@:43000769:@:12:@@@:AL391099:::12:@@@:AL391099:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:CM000672.2:@:NC_000010.11:@:CHROMOSOME:@:42384239:@:42505321:@:12:@@@:AL391099:::12:@@@:AL391099:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
Localization Problem	HG-1588	10	ABBA01020697.1	ABBA01020717.1	User Report	"Issue reported from Web Site: Admixture mapping of decoy sequence"	Resolved	"none"	"Unlocalized HuRef scaffold NW_001841133.1 admixture maps to the pericentromeric region of chromosome 10 (58 SNPs with LOD&gt;=6, and 82 more SNPs with LOD&gt;=5)."	na	2015-07-23T17:13:43.000-0400	na	GRC Resolved by Electronic Means	"Placement of HuRef scaffold NW_001841133.1 and overlapping BAC clone AC127389.2 to the peri-centormeric region on chromosome 10 has been determined through admixture mapping.\nThe components have further localized through optical map analysis and have been placed on the chromosome 10 reference TPF and will be included in the GRCh38 assembly."	na	GRCh38	GRCh37	na	na	na	MAPPED:@:CM000672.2:@:NC_000010.11:@:CHROMOSOME:@:39058886:@:39636682:@:1:@@@:ABBA01020697:::1:@@@:ABBA01020717:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
