id	chr	SuccessfullyMapped	MappedSeqInfo.GenBankID	MappedSeqInfo.RefSeqID	MappedSeqInfo.SequenceType	ChrStart	ChrEnd	MappedVersionNumbers	MappedVersionAccessions	Accession1Method	Accession2Method	AssemblyName	GenBankAssemblyAcc	RefSeqAssemblyAcc	AssemblyStatus
MG-3522	10	MAPPED	CM001003.1	NC_000076.5	CHROMOSOME	7303659	7309484	1,1	CAAA01052025,CAAA01224627	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3523	10	MAPPED	CM001003.2	NC_000076.6	CHROMOSOME	57657131	58311233	3,2	AC168055,AC170751	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3523	10	MAPPED	CM001003.1	NC_000076.5	CHROMOSOME	57376937	57773981	3,2	AC168055,AC170751	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3524	10	MAPPED	CM001003.2	NC_000076.6	CHROMOSOME	57822269	57847670	1,1	CAAA01061719,CAAA01061717	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3524	10	MAPPED	CM001003.1	NC_000076.5	CHROMOSOME	57542075	57567476	1,1	CAAA01061719,CAAA01061717	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3526	10	MAPPED	CM001003.2	NC_000076.6	CHROMOSOME	57843825	57862807	1,1	CAAA01061717,CAAA01138294	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3526	10	MAPPED	CM001003.1	NC_000076.5	CHROMOSOME	57563631	57582613	1,1	CAAA01061717,CAAA01138294	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3529	10	MAPPED	CM001003.2	NC_000076.6	CHROMOSOME	57847953	58311233	1,2	CAAA01138294,AC170751	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3529	10	MAPPED	CM001003.1	NC_000076.5	CHROMOSOME	57567759	57773981	1,2	CAAA01138294,AC170751	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3530	10	MAPPED	CM001003.2	NC_000076.6	CHROMOSOME	67228314	67653670	8,1	AC155712,AC153379	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3530	10	MAPPED	CM001003.1	NC_000076.5	CHROMOSOME	66691062	67116418	8,1	AC155712,AC153379	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3531	10	MAPPED	CM001003.2	NC_000076.6	CHROMOSOME	67371118	67387253	1,1	CAAA01180439,CAAA01123074	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3531	10	MAPPED	CM001003.1	NC_000076.5	CHROMOSOME	66833866	66850001	1,1	CAAA01180439,CAAA01123074	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3533	10	MAPPED	CM001003.2	NC_000076.6	CHROMOSOME	67379325	67389079	1,1	CAAA01123074,CAAA01123070	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3533	10	MAPPED	CM001003.1	NC_000076.5	CHROMOSOME	66842073	66851827	1,1	CAAA01123074,CAAA01123070	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3536	10	MAPPED	CM001003.2	NC_000076.6	CHROMOSOME	67387417	67390452	1,1	CAAA01123070,CAAA01082152	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3536	10	MAPPED	CM001003.1	NC_000076.5	CHROMOSOME	66850165	66853200	1,1	CAAA01123070,CAAA01082152	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3539	10	MAPPED	CM001003.2	NC_000076.6	CHROMOSOME	67389180	67393793	1,1	CAAA01082152,CAAA01123066	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3539	10	MAPPED	CM001003.1	NC_000076.5	CHROMOSOME	66851928	66856541	1,1	CAAA01082152,CAAA01123066	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3540	10	MAPPED	CM001003.2	NC_000076.6	CHROMOSOME	67391283	67406177	1,1	CAAA01123066,CAAA01218211	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3540	10	MAPPED	CM001003.1	NC_000076.5	CHROMOSOME	66854031	66868925	1,1	CAAA01123066,CAAA01218211	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3541	10	MAPPED	CM001003.2	NC_000076.6	CHROMOSOME	67395260	67413526	1,1	CAAA01218211,CAAA01115023	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3541	10	MAPPED	CM001003.1	NC_000076.5	CHROMOSOME	66858008	66876274	1,1	CAAA01218211,CAAA01115023	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3544	10	MAPPED	CM001003.2	NC_000076.6	CHROMOSOME	67409404	67415897	1,1	CAAA01115023,CAAA01173964	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3544	10	MAPPED	CM001003.1	NC_000076.5	CHROMOSOME	66872152	66878645	1,1	CAAA01115023,CAAA01173964	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3545	10	MAPPED	CM001003.2	NC_000076.6	CHROMOSOME	67413627	67423332	1,1	CAAA01173964,CAAA01115019	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3545	10	MAPPED	CM001003.1	NC_000076.5	CHROMOSOME	66876375	66886080	1,1	CAAA01173964,CAAA01115019	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3546	10	MAPPED	CM001003.2	NC_000076.6	CHROMOSOME	67416585	67429153	1,1	CAAA01115019,CAAA01115014	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3546	10	MAPPED	CM001003.1	NC_000076.5	CHROMOSOME	66879333	66891901	1,1	CAAA01115019,CAAA01115014	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3547	10	MAPPED	CM001003.2	NC_000076.6	CHROMOSOME	67423433	67431522	1,1	CAAA01115014,CAAA01205408	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3547	10	MAPPED	CM001003.1	NC_000076.5	CHROMOSOME	66886181	66894270	1,1	CAAA01115014,CAAA01205408	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3548	10	MAPPED	CM001003.2	NC_000076.6	CHROMOSOME	67429658	67432346	1,1	CAAA01205408,CAAA01081969	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3548	10	MAPPED	CM001003.1	NC_000076.5	CHROMOSOME	66892406	66895094	1,1	CAAA01205408,CAAA01081969	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3549	10	MAPPED	CM001003.2	NC_000076.6	CHROMOSOME	67431623	67440687	1,1	CAAA01081969,CAAA01090905	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3549	10	MAPPED	CM001003.1	NC_000076.5	CHROMOSOME	66894371	66903435	1,1	CAAA01081969,CAAA01090905	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3550	10	MAPPED	CM001003.2	NC_000076.6	CHROMOSOME	67432447	67441617	1,1	CAAA01090905,CAAA01082131	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3550	10	MAPPED	CM001003.1	NC_000076.5	CHROMOSOME	66895195	66904365	1,1	CAAA01090905,CAAA01082131	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3551	10	MAPPED	CM001003.2	NC_000076.6	CHROMOSOME	67440788	67451489	1,1	CAAA01082131,CAAA01176764	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3551	10	MAPPED	CM001003.1	NC_000076.5	CHROMOSOME	66903536	66914237	1,1	CAAA01082131,CAAA01176764	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3552	10	MAPPED	CM001003.2	NC_000076.6	CHROMOSOME	67441718	67456649	1,1	CAAA01176764,CAAA01180938	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3552	10	MAPPED	CM001003.1	NC_000076.5	CHROMOSOME	66904466	66919397	1,1	CAAA01176764,CAAA01180938	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3553	10	MAPPED	CM001003.2	NC_000076.6	CHROMOSOME	67451640	67479475	1,1	CAAA01180938,CAAA01215495	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3553	10	MAPPED	CM001003.1	NC_000076.5	CHROMOSOME	66914388	66942223	1,1	CAAA01180938,CAAA01215495	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3641	10	MAPPED	CM001003.2	NC_000076.6	CHROMOSOME	74172059	74318094	6,1	AC147721,AC188091	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3641	10	MAPPED	CM001003.1	NC_000076.5	CHROMOSOME	73634807	73780839	6,1	AC147721,AC188091	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3753	10	MAPPED	CM001003.2	NC_000076.6	CHROMOSOME	7346541	7493562	15,15	AC147512,AC147512	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3753	10	NOT MAPPED	na	na	na	na	na	na,na	na,na	na	na	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3824	10	MAPPED	CM001003.2	NC_000076.6	CHROMOSOME	62947722	63097791	15,15	AC113107,AC113107	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3824	10	MAPPED	CM001003.1	NC_000076.5	CHROMOSOME	62410470	62560539	15,15	AC113107,AC113107	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3826	10	MAPPED	CM001003.2	NC_000076.6	CHROMOSOME	94764672	94826239	8,8	AC159542,AC159542	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3826	10	MAPPED	CM001003.1	NC_000076.5	CHROMOSOME	94227417	94330754	8,8	AC159542,AC159542	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3827	10	MAPPED	CM001003.2	NC_000076.6	CHROMOSOME	77899490	77938520	7,7	AC158612,AC158612	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3827	10	MAPPED	CM001003.1	NC_000076.5	CHROMOSOME	77362235	77498586	7,7	AC158612,AC158612	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3915	10	MAPPED	CM001003.2	NC_000076.6	CHROMOSOME	76935898	77095204	12,12	AC055777,AC055777	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3915	10	MAPPED	CM001003.1	NC_000076.5	CHROMOSOME	76398643	76557949	12,12	AC055777,AC055777	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-4	10	MAPPED	CM001003.2	NC_000076.6	CHROMOSOME	104007035	104167253	4,4	AC123806,AC123806	alignment	alignment	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-4	10	MAPPED	CM001003.1	NC_000076.5	CHROMOSOME	103469669	103629835	4,4	AC123806,AC123806	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-4070	10	MAPPED	CM001003.2	NC_000076.6	CHROMOSOME	12761067	12955826	44,44	AC091681,AC091681	alignment	alignment	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-4070	10	MAPPED	CM001003.1	NC_000076.5	CHROMOSOME	12632935	12675632	44,44	AC091681,AC091681	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-4071	10	MAPPED	CM001003.2	NC_000076.6	CHROMOSOME	103934628	104469135	4,2	AC148335,AC122909	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-4071	10	MAPPED	CM001003.1	NC_000076.5	CHROMOSOME	103397262	103906191	4,2	AC148335,AC122909	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-4072	10	MAPPED	CM001003.2	NC_000076.6	CHROMOSOME	130468014	130556199	1,1	AC152945,AC152945	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-4072	10	MAPPED	CM001003.1	NC_000076.5	CHROMOSOME	129905070	129993255	1,1	AC152945,AC152945	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-4090	10	MAPPED	CM001003.2	NC_000076.6	CHROMOSOME	5773534	6084486	13,13	AC159325,AC153572	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-4090	10	MAPPED	CM001003.1	NC_000076.5	CHROMOSOME	4262055	4573007	13,13	AC159325,AC153572	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-4091	10	MAPPED	CM001003.2	NC_000076.6	CHROMOSOME	6703241	6961267	5,5	AC164171,AC153981	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-4091	10	MAPPED	CM001003.1	NC_000076.5	CHROMOSOME	3385274	3643300	5,5	AC164171,AC153981	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-4092	10	MAPPED	CM001003.2	NC_000076.6	CHROMOSOME	4874332	5027214	12,8	AC156393,AC158639	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-4092	10	MAPPED	CM001003.1	NC_000076.5	CHROMOSOME	5319327	5472209	12,8	AC156393,AC158639	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-4093	10	MAPPED	CM001003.2	NC_000076.6	CHROMOSOME	4473474	4703757	6,9	AC156275,AC158617	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-4093	10	MAPPED	CM001003.1	NC_000076.5	CHROMOSOME	5642784	5873067	6,9	AC156275,AC158617	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-4096	10	MAPPED	CM001003.2	NC_000076.6	CHROMOSOME	4703758	4915362	8,3	AC158639,AC153573	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-4096	10	MAPPED	CM001003.1	NC_000076.5	CHROMOSOME	5431179	5642783	8,3	AC158639,AC153573	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-4137	10	MAPPED	CM001003.2	NC_000076.6	CHROMOSOME	3127278	3211502	2,2	AC168222,AC168222	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-4137	10	MAPPED	CM001003.1	NC_000076.5	CHROMOSOME	7135039	7219263	2,2	AC168222,AC168222	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-4138	10	MAPPED	CM001003.2	NC_000076.6	CHROMOSOME	7346541	7776389	15,6	AC147512,AC156391	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-4141	10	MAPPED	CM001003.2	NC_000076.6	CHROMOSOME	57657131	58311233	3,2	AC168055,AC170751	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-4141	10	MAPPED	CM001003.1	NC_000076.5	CHROMOSOME	57376937	57773981	3,2	AC168055,AC170751	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-4262	10	MAPPED	CM001003.2	NC_000076.6	CHROMOSOME	7346541	7776389	15,6	AC147512,AC156391	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-4263	10	MAPPED	CM001003.2	NC_000076.6	CHROMOSOME	67228314	67653670	8,1	AC155712,AC153379	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-4263	10	MAPPED	CM001003.1	NC_000076.5	CHROMOSOME	66691062	67116418	8,1	AC155712,AC153379	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-4264	10	MAPPED	CM001003.2	NC_000076.6	CHROMOSOME	57657131	58311233	3,2	AC168055,AC170751	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-4264	10	MAPPED	CM001003.1	NC_000076.5	CHROMOSOME	57376937	57773981	3,2	AC168055,AC170751	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-53	10	NOT MAPPED	na	na	na	na	na	na,na	na,na	na	na	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-53	10	NOT MAPPED	na	na	na	na	na	na,na	na,na	na	na	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-54	10	NOT MAPPED	na	na	na	na	na	na,na	na,na	na	na	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-54	10	NOT MAPPED	na	na	na	na	na	na,na	na,na	na	na	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-114	11	NOT MAPPED	na	na	na	na	na	na,na	na,na	na	na	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-114	11	NOT MAPPED	na	na	na	na	na	na,na	na,na	na	na	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-126	11	NOT MAPPED	na	na	na	na	na	na,na	na,na	na	na	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-126	11	NOT MAPPED	na	na	na	na	na	na,na	na,na	na	na	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-192	11	MAPPED	CM001004.2	NC_000077.6	CHROMOSOME	103027483	103136484	8,8	AL731805,AL731805	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-192	11	MAPPED	CM001004.1	NC_000077.5	CHROMOSOME	102888797	102997798	8,8	AL731805,AL731805	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3554	11	MAPPED	CM001004.2	NC_000077.6	CHROMOSOME	34387080	34686167	19,3	AL669849,CT005230	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3555	11	MAPPED	CM001004.2	NC_000077.6	CHROMOSOME	88568982	88602943	3,4	CR405681,BX664717	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3555	11	MAPPED	JH584265.1	NT_187003.1	ALT_SCAFFOLD	1711289	1747392	3,4	CR405681,BX664717	alignment	alignment	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3555	11	MAPPED	CM001004.1	NC_000077.5	CHROMOSOME	88382484	88464257	3,4	CR405681,BX664717	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3556	11	MAPPED	JH584265.1	NT_187003.1	ALT_SCAFFOLD	1736551	1743064	1,1	CAAA01072199,CAAA01097148	alignment	alignment	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3556	11	MAPPED	CM001004.2	NC_000077.6	CHROMOSOME	88591841	88598582	1,1	CAAA01072199,CAAA01097148	alignment	alignment	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3556	11	MAPPED	CM001004.1	NC_000077.5	CHROMOSOME	88406221	88459765	1,1	CAAA01072199,CAAA01097148	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3557	11	MAPPED	CM001004.2	NC_000077.6	CHROMOSOME	121977729	121982543	3,3	CR556721,CR556721	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3557	11	NOT MAPPED	na	na	na	na	na	na,na	na,na	na	na	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3720	11	MAPPED	CM001004.2	NC_000077.6	CHROMOSOME	3100001	3107212	4,4	CR954170,CR954170	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3720	11	NOT MAPPED	na	na	na	na	na	na,na	na,na	na	na	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3829	11	MAPPED	CM001004.2	NC_000077.6	CHROMOSOME	88035058	88256333	11,11	AL593853,AL593853	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3829	11	MAPPED	JH584265.1	NT_187003.1	ALT_SCAFFOLD	1171167	1393639	11,11	AL593853,AL593853	alignment	alignment	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3829	11	MAPPED	KB469739.1	NW_004450260.1	ALT_SCAFFOLD	38482	261757	11,11	AL593853,AL593853	alignment	alignment	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3829	11	MAPPED	CM001004.1	NC_000077.5	CHROMOSOME	87848560	88069835	11,11	AL593853,AL593853	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3831	11	NOT MAPPED	na	na	na	na	na	na,na	na,na	na	na	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3831	11	NOT MAPPED	na	na	na	na	na	na,na	na,na	na	na	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3917	11	MAPPED	CM001004.2	NC_000077.6	CHROMOSOME	94319643	94479620	8,8	AL645965,AL645965	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3917	11	MAPPED	CM001004.1	NC_000077.5	CHROMOSOME	94180957	94340934	8,8	AL645965,AL645965	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3918	11	MAPPED	CM001004.2	NC_000077.6	CHROMOSOME	101069329	101141172	10,10	BX255926,BX255926	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3918	11	MAPPED	CM001004.1	NC_000077.5	CHROMOSOME	100930643	101002486	10,10	BX255926,BX255926	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3919	11	MAPPED	CM001004.2	NC_000077.6	CHROMOSOME	101955505	102152012	25,25	AL591145,AL591145	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3919	11	MAPPED	CM001004.1	NC_000077.5	CHROMOSOME	101816819	102013326	25,25	AL591145,AL591145	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-4073	11	MAPPED	CM001004.2	NC_000077.6	CHROMOSOME	22765948	22976813	20,20	AL772364,AL772364	alignment	alignment	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-4073	11	MAPPED	CM001004.1	NC_000077.5	CHROMOSOME	22667951	22876813	20,20	AL772364,AL772364	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-4074	11	MAPPED	CM001004.2	NC_000077.6	CHROMOSOME	38060982	38097818	2,2	CT008507,CT008507	alignment	alignment	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-4074	11	MAPPED	CM001004.1	NC_000077.5	CHROMOSOME	37876484	37911320	2,2	CT008507,CT008507	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-4075	11	MAPPED	CM001004.2	NC_000077.6	CHROMOSOME	38160683	38170074	2,2	CT008509,CT008509	alignment	alignment	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-4075	11	MAPPED	CM001004.1	NC_000077.5	CHROMOSOME	37976185	37983576	2,2	CT008509,CT008509	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-4076	11	MAPPED	CM001004.2	NC_000077.6	CHROMOSOME	97000939	97327090	17,21	AL606664,AL627445	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-4076	11	MAPPED	CM001004.1	NC_000077.5	CHROMOSOME	96862253	97188404	17,21	AL606664,AL627445	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-4077	11	MAPPED	CM001004.2	NC_000077.6	CHROMOSOME	121975729	121982542	2,2	CR556721,CR556721	alignment	alignment	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-4077	11	MAPPED	CM001004.1	NC_000077.5	CHROMOSOME	121839043	121843856	2,2	CR556721,CR556721	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-41	11	MAPPED	CM001004.2	NC_000077.6	CHROMOSOME	34543542	34681698	1,1	CAAA01137842,CAAA01083080	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-41	11	MAPPED	CM001004.1	NC_000077.5	CHROMOSOME	34443542	34495201	1,1	CAAA01137842,CAAA01083080	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-4256	11	MAPPED	CM001004.2	NC_000077.6	CHROMOSOME	34387080	34686167	19,3	AL669849,CT005230	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-76	11	MAPPED	JH584265.1	NT_187003.1	ALT_SCAFFOLD	1736551	1743064	1,1	CAAA01072199,CAAA01097148	alignment	alignment	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
