id	chr	SuccessfullyMapped	MappedSeqInfo.GenBankID	MappedSeqInfo.RefSeqID	MappedSeqInfo.SequenceType	ChrStart	ChrEnd	MappedVersionNumbers	MappedVersionAccessions	Accession1Method	Accession2Method	AssemblyName	GenBankAssemblyAcc	RefSeqAssemblyAcc	AssemblyStatus
HG-1164	10	MAPPED	CM000672.2	NC_000010.11	CHROMOSOME	45175233	45468971	6,14	AL731567,AL512324	component	component	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-1164	10	MAPPED	GL383546.1	NW_003315935.1	ALT_SCAFFOLD	1	309802	6,14	AL731567,AL512324	component	component	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-1211	10	MAPPED	CM000672.1	NC_000010.10	CHROMOSOME	47008954	47069299	20,20	AL732434,AL732434	component	component	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-1211	10	MAPPED	JH591181.2	NW_003871068.1	ALT_SCAFFOLD	760961	2094411	20,20	AL732434,AL732434	alignment	alignment	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-1211	10	MAPPED	JH591181.2	NW_003871068.1	ALT_SCAFFOLD	760895	2094411	20,20	AL732434,AL732434	alignment	alignment	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-1211	10	MAPPED	CM000672.2	NC_000010.11	CHROMOSOME	46489780	47904515	20,20	AL732434,AL732434	alignment	alignment	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-1265	10	MAPPED	CM000672.1	NC_000010.10	CHROMOSOME	37287763	37422278	6,6	AC067744,AC067744	component	component	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-1265	10	MAPPED	CM000672.2	NC_000010.11	CHROMOSOME	36998835	37133350	6,6	AC067744,AC067744	component	component	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-1271	10	MAPPED	CM000672.1	NC_000010.10	CHROMOSOME	46256855	49299273	15,9	AC012044,AL603966	component	component	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-1271	10	MAPPED	JH591181.2	NW_003871068.1	ALT_SCAFFOLD	32522	2281126	15,9	AC012044,AL603966	component	component	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-1271	10	MAPPED	CM000672.2	NC_000010.11	CHROMOSOME	45761407	48091230	15,9	AC012044,AL603966	component	component	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-1276	10	MAPPED	CM000672.1	NC_000010.10	CHROMOSOME	47069300	47792476	10,27	AL603965,AL390716	component	component	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-1276	10	MAPPED	CM000672.2	NC_000010.11	CHROMOSOME	46316430	46482156	10,27	AL603965,AL390716	alignment	alignment	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-1277	10	MAPPED	CM000672.1	NC_000010.10	CHROMOSOME	47353892	49299273	1,9	BX649215,AL603966	component	component	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-1277	10	MAPPED	JH591181.2	NW_003871068.1	ALT_SCAFFOLD	1934987	2281126	1,9	BX649215,AL603966	component	component	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-1277	10	MAPPED	CM000672.2	NC_000010.11	CHROMOSOME	47663872	48091230	1,9	BX649215,AL603966	component	component	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-130	10	MAPPED	CM000672.1	NC_000010.10	CHROMOSOME	51028872	51398845	9,12	AL731572,AL672187	component	component	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-130	10	MAPPED	CM000672.2	NC_000010.11	CHROMOSOME	45931517	49929364	9,12	AL731572,AL672187	component	component	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-1305	10	MAPPED	CM000672.1	NC_000010.10	CHROMOSOME	112508383	112644230	24,24	AL136368,AL136368	component	component	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-1305	10	MAPPED	CM000672.2	NC_000010.11	CHROMOSOME	110748625	110884472	24,24	AL136368,AL136368	component	component	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-1372	10	MAPPED	CM000672.1	NC_000010.10	CHROMOSOME	96439550	96688470	18,12	AL583836,AL133513	component	component	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-1372	10	MAPPED	CM000672.2	NC_000010.11	CHROMOSOME	94679793	94928713	18,12	AL583836,AL133513	component	component	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-1373	10	MAPPED	CM000672.1	NC_000010.10	CHROMOSOME	135230864	135390507	14,14	AL161645,AL161645	component	component	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-1373	10	MAPPED	CM000672.2	NC_000010.11	CHROMOSOME	133417360	133577003	14,14	AL161645,AL161645	component	component	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-1449	10	MAPPED	CM000672.1	NC_000010.10	CHROMOSOME	135466969	135514762	22,18	AL845259,AL732375	component	component	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-1449	10	MAPPED	CM000672.2	NC_000010.11	CHROMOSOME	133653465	133777437	22,18	AL845259,AL732375	component	component	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-145	10	MAPPED	CM000672.1	NC_000010.10	CHROMOSOME	128605511	128769294	16,5	AL772134,BX470155	component	component	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-145	10	MAPPED	CM000672.2	NC_000010.11	CHROMOSOME	126916942	126971030	16,5	AL772134,BX470155	component	component	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-1479	10	MAPPED	CM000672.1	NC_000010.10	CHROMOSOME	133665144	133781577	2,9	BX511297,AL732395	component	component	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-1479	10	MAPPED	CM000672.2	NC_000010.11	CHROMOSOME	131832808	131968073	2,9	BX511297,AL732395	component	component	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-1541	10	MAPPED	CM000672.1	NC_000010.10	CHROMOSOME	42879687	43000769	12,12	AL391099,AL391099	component	component	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-1541	10	MAPPED	CM000672.2	NC_000010.11	CHROMOSOME	42384239	42505321	12,12	AL391099,AL391099	component	component	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-1588	10	MAPPED	CM000672.2	NC_000010.11	CHROMOSOME	39058886	39636682	1,1	ABBA01020697,ABBA01020717	component	component	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-1707	10	MAPPED	CM000672.1	NC_000010.10	CHROMOSOME	2405908	2662802	22,8	AC024908,AL713851	component	component	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-1707	10	MAPPED	CM000672.2	NC_000010.11	CHROMOSOME	2363714	2620610	22,8	AC024908,AL713851	component	component	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-1826	10	MAPPED	JH591181.2	NW_003871068.1	ALT_SCAFFOLD	589545	759074	3,3	AC244230,AC244230	component	component	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-1826	10	MAPPED	CM000672.1	NC_000010.10	CHROMOSOME	47658242	47772045	3,3	AC244230,AC244230	alignment	alignment	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-1826	10	MAPPED	CM000672.2	NC_000010.11	CHROMOSOME	46318430	46487959	3,3	AC244230,AC244230	component	component	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-1843	10	MAPPED	CM000672.1	NC_000010.10	CHROMOSOME	1276937	1312317	3,3	AC226387,AC226387	alignment	alignment	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-1843	10	MAPPED	CM000672.2	NC_000010.11	CHROMOSOME	1230997	1270122	3,3	AC226387,AC226387	component	component	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-1844	10	MAPPED	CM000672.1	NC_000010.10	CHROMOSOME	42667747	42718879	3,3	AC238645,AC238645	alignment	alignment	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-1844	10	MAPPED	KI270824.1	NT_187579.1	ALT_SCAFFOLD	69060	105988	3,3	AC238645,AC238645	component	component	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-1844	10	MAPPED	CM000672.2	NC_000010.11	CHROMOSOME	42172299	42223431	3,3	AC238645,AC238645	alignment	alignment	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-187	10	MAPPED	CM000672.1	NC_000010.10	CHROMOSOME	11286041	11471536	9,9	AC026887,AC026887	component	component	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-187	10	MAPPED	CM000672.2	NC_000010.11	CHROMOSOME	11244078	11429537	9,9	AC026887,AC026887	component	component	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-190	10	MAPPED	CM000672.1	NC_000010.10	CHROMOSOME	135466969	135514762	1,1	NONE,NONE	curated	curated	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-190	10	MAPPED	CM000672.2	NC_000010.11	CHROMOSOME	133653465	133777437	1,1	NONE,NONE	curated	curated	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-1920	10	MAPPED	CM000672.1	NC_000010.10	CHROMOSOME	79665616	79690984	3,3	AC225822,AC225822	alignment	alignment	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-1920	10	MAPPED	KI270825.1	NT_187580.1	ALT_SCAFFOLD	169919	188315	3,3	AC225822,AC225822	component	component	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-1920	10	MAPPED	CM000672.2	NC_000010.11	CHROMOSOME	77905858	77931226	3,3	AC225822,AC225822	alignment	alignment	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-1953	10	MAPPED	CM000672.1	NC_000010.10	CHROMOSOME	6339821	6527587	13,13	AL137145,AL137145	component	component	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-1953	10	MAPPED	CM000672.2	NC_000010.11	CHROMOSOME	6295858	6485625	13,13	AL137145,AL137145	alignment	alignment	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-2020	10	MAPPED	CM000672.1	NC_000010.10	CHROMOSOME	48593396	48886191	20,24	BX005072,AL358791	component	component	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-2020	10	MAPPED	JH591181.2	NW_003871068.1	ALT_SCAFFOLD	1124286	1417081	20,24	BX005072,AL358791	component	component	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-2020	10	MAPPED	CM000672.2	NC_000010.11	CHROMOSOME	46853171	47145966	20,24	BX005072,AL358791	component	component	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-203	10	MAPPED	CM000672.1	NC_000010.10	CHROMOSOME	81251576	81561458	15,6	AL132656,AC068139	component	alignment	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-203	10	MAPPED	CM000672.2	NC_000010.11	CHROMOSOME	79491820	79801702	15,6	AL132656,AC068139	component	alignment	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-2032	10	MAPPED	CM000672.1	NC_000010.10	CHROMOSOME	89606978	89808513	8,8	AC063965,AC063965	curated	curated	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-2032	10	MAPPED	CM000672.2	NC_000010.11	CHROMOSOME	87847221	88048756	8,8	AC063965,AC063965	curated	curated	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-2078	10	MAPPED	CM000672.1	NC_000010.10	CHROMOSOME	103433061	103634902	9,9	AC010789,AC010789	component	component	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-2078	10	MAPPED	CM000672.2	NC_000010.11	CHROMOSOME	101673304	101875145	9,9	AC010789,AC010789	component	component	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-2079	10	MAPPED	CM000672.1	NC_000010.10	CHROMOSOME	88232683	88364030	18,18	AL731569,AL731569	component	component	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-2079	10	MAPPED	CM000672.2	NC_000010.11	CHROMOSOME	86472926	86604273	18,18	AL731569,AL731569	component	component	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-2182	10	MAPPED	CM000672.1	NC_000010.10	CHROMOSOME	28166709	28370906	14,14	AL390866,AL390866	component	component	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-2182	10	MAPPED	CM000672.2	NC_000010.11	CHROMOSOME	27877780	28081977	14,14	AL390866,AL390866	component	component	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-2191	10	MAPPED	CM000672.1	NC_000010.10	CHROMOSOME	76575533	76745350	11,11	AC063962,AC063962	component	component	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-2191	10	MAPPED	CM000672.2	NC_000010.11	CHROMOSOME	74815775	74985592	11,11	AC063962,AC063962	component	component	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-2191	10	MAPPED	KN196480.1	NW_009646202.1	ALT_SCAFFOLD	30522	190268	11,11	AC063962,AC063962	component	component	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-2192	10	MAPPED	CM000672.1	NC_000010.10	CHROMOSOME	82965983	83047521	10,10	AL356307,AL356307	component	component	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-2192	10	MAPPED	CM000672.2	NC_000010.11	CHROMOSOME	81206227	81287765	10,10	AL356307,AL356307	component	component	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-2194	10	MAPPED	CM000672.1	NC_000010.10	CHROMOSOME	35800756	35964762	14,14	AL121749,AL121749	component	component	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-2194	10	MAPPED	CM000672.2	NC_000010.11	CHROMOSOME	35511828	35675834	14,14	AL121749,AL121749	component	component	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-2195	10	MAPPED	CM000672.1	NC_000010.10	CHROMOSOME	129377708	129539485	9,9	AL391005,AL391005	component	component	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-2195	10	MAPPED	CM000672.2	NC_000010.11	CHROMOSOME	127579444	127741221	9,9	AL391005,AL391005	component	component	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-2196	10	MAPPED	CM000672.1	NC_000010.10	CHROMOSOME	67278575	67444672	8,8	AC020641,AC020641	component	component	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-2196	10	MAPPED	CM000672.2	NC_000010.11	CHROMOSOME	65518817	65684914	8,8	AC020641,AC020641	component	component	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-2196	10	MAPPED	KQ090020.1	NW_013171806.1	ALT_SCAFFOLD	39205	185507	8,8	AC020641,AC020641	component	component	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-2241	10	MAPPED	CM000672.1	NC_000010.10	CHROMOSOME	133371354	133434056	1,1	AEKP01147502,AEKP01147502	alignment	alignment	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-2241	10	MAPPED	GL383544.1	NW_003315933.1	ALT_SCAFFOLD	113036	128378	1,1	AEKP01147502,AEKP01147502	alignment	alignment	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-2241	10	MAPPED	CM000672.2	NC_000010.11	CHROMOSOME	131590745	131597030	1,1	AEKP01147502,AEKP01147502	component	component	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-2241	10	MAPPED	KN538365.1	NW_011332692.1	ALT_SCAFFOLD	1	8587	1,1	AEKP01147502,AEKP01147502	alignment	alignment	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-2242	10	NOT MAPPED	na	na	na	na	na	na,na	na,na	na	na	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-2242	10	MAPPED	CM000672.2	NC_000010.11	CHROMOSOME	124121503	124122696	1,1	AEKP01170919,AEKP01170919	component	component	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-2242	10	MAPPED	KN538366.1	NW_011332693.1	ALT_SCAFFOLD	11421	12614	1,1	AEKP01170919,AEKP01170919	alignment	alignment	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-2243	10	MAPPED	CM000672.1	NC_000010.10	CHROMOSOME	125804483	125869472	1,1	AEKP01170920,AEKP01170920	alignment	alignment	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-2243	10	MAPPED	CM000672.2	NC_000010.11	CHROMOSOME	124120543	124121200	1,1	AEKP01170920,AEKP01170920	component	component	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-2244	10	NOT MAPPED	na	na	na	na	na	na,na	na,na	na	na	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-2244	10	MAPPED	CM000672.2	NC_000010.11	CHROMOSOME	39282147	39321757	1,1	AEKP01211925,AEKP01211925	component	component	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-2244	10	MAPPED	KN538367.1	NW_011332694.1	ALT_SCAFFOLD	363566	403491	1,1	AEKP01211925,AEKP01211925	alignment	alignment	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-2245	10	NOT MAPPED	na	na	na	na	na	na,na	na,na	na	na	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-2245	10	MAPPED	CM000672.2	NC_000010.11	CHROMOSOME	39239119	39250956	1,1	AEKP01211928,AEKP01211928	component	component	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-2245	10	MAPPED	KN538367.1	NW_011332694.1	ALT_SCAFFOLD	320797	332635	1,1	AEKP01211928,AEKP01211928	alignment	alignment	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-2317	10	MAPPED	CM000672.1	NC_000010.10	CHROMOSOME	6337821	6527587	14,14	AL137145,AL137145	alignment	alignment	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-2317	10	MAPPED	CM000672.2	NC_000010.11	CHROMOSOME	6297858	6485625	14,14	AL137145,AL137145	component	component	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-2325	10	MAPPED	CM000672.1	NC_000010.10	CHROMOSOME	76557140	76585603	18,18	AL360225,AL360225	alignment	alignment	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-2325	10	MAPPED	KN196480.1	NW_009646202.1	ALT_SCAFFOLD	1	30521	18,18	AL360225,AL360225	component	component	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-2325	10	MAPPED	CM000672.2	NC_000010.11	CHROMOSOME	74797382	74825845	18,18	AL360225,AL360225	alignment	alignment	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-2331	10	MAPPED	JH591181.2	NW_003871068.1	ALT_SCAFFOLD	832532	875762	2,2	FO681492,FO681492	alignment	alignment	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-2331	10	MAPPED	CM000672.1	NC_000010.10	CHROMOSOME	46944970	46988200	2,2	FO681492,FO681492	alignment	alignment	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-2331	10	MAPPED	CM000672.2	NC_000010.11	CHROMOSOME	47739150	47780368	2,2	FO681492,FO681492	component	component	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-2334	10	MAPPED	CM000672.1	NC_000010.10	CHROMOSOME	89606978	89808513	8,8	AC063965,AC063965	component	component	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-2334	10	MAPPED	CM000672.2	NC_000010.11	CHROMOSOME	87847221	88048756	8,8	AC063965,AC063965	component	component	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-2334	10	MAPPED	KQ090021.1	NW_013171807.1	ALT_SCAFFOLD	161032	264545	8,8	AC063965,AC063965	component	component	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-2344	10	MAPPED	CM000672.1	NC_000010.10	CHROMOSOME	89606978	89808513	8,8	AC063965,AC063965	component	component	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-2344	10	MAPPED	CM000672.2	NC_000010.11	CHROMOSOME	87847221	88048756	8,8	AC063965,AC063965	component	component	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-2344	10	MAPPED	KQ090021.1	NW_013171807.1	ALT_SCAFFOLD	161032	264545	8,8	AC063965,AC063965	component	component	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-310	10	MAPPED	CM000672.1	NC_000010.10	CHROMOSOME	102563737	102677033	20,20	AL138762,AL138762	component	component	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-310	10	MAPPED	CM000672.2	NC_000010.11	CHROMOSOME	100803980	100917276	20,20	AL138762,AL138762	component	component	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-311	10	MAPPED	CM000672.1	NC_000010.10	CHROMOSOME	118348517	118544777	12,12	AC016825,AC016825	component	component	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-311	10	MAPPED	JH591182.1	NW_003871069.1	ALT_SCAFFOLD	1	196262	12,12	AC016825,AC016825	component	component	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-311	10	MAPPED	CM000672.2	NC_000010.11	CHROMOSOME	116589005	116785266	12,12	AC016825,AC016825	component	component	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-339	10	MAPPED	CM000672.1	NC_000010.10	CHROMOSOME	97861451	98039369	6,6	AC021037,AC021037	component	component	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-339	10	MAPPED	JH591183.1	NW_003871070.1	ALT_SCAFFOLD	1	177920	6,6	AC021037,AC021037	component	component	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-339	10	MAPPED	CM000672.2	NC_000010.11	CHROMOSOME	96101694	96279612	6,6	AC021037,AC021037	component	component	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-382	10	MAPPED	CM000672.1	NC_000010.10	CHROMOSOME	72002092	72082327	19,19	AL355138,AL355138	component	component	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-382	10	MAPPED	CM000672.2	NC_000010.11	CHROMOSOME	70242336	70322571	19,19	AL355138,AL355138	component	component	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-53	10	MAPPED	CM000672.1	NC_000010.10	CHROMOSOME	5631686	5804780	7,13	BX276080,AL365356	component	component	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-53	10	MAPPED	CM000672.2	NC_000010.11	CHROMOSOME	5589723	5762817	7,13	BX276080,AL365356	component	component	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
