# Region Report
# Assembly Name:  GRCh37.p6
# Description:    Genome Reference Consortium Human Build 37 patch release 6 (GRCh37.p6)
# Organism name:  Homo sapiens
# Taxid:          9606
# Submitter:      Genome Reference Consortium
# Date:           2011-9-23
# Assembly type:  haploid-with-alt-loci
# Release type:   patch
# Assembly level: Chromosome
# Genome representation: full
# GenBank Assembly Accession: GCA_000001405.7 (replaced)
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000001305.1		Primary Assembly
## GCA_000005045.6		PATCHES
## GCA_000001315.1		ALT_REF_LOCI_1
## GCA_000001325.1		ALT_REF_LOCI_2
## GCA_000001335.1		ALT_REF_LOCI_3
## GCA_000001345.1		ALT_REF_LOCI_4
## GCA_000001355.1		ALT_REF_LOCI_5
## GCA_000001365.1		ALT_REF_LOCI_6
## GCA_000001375.1		ALT_REF_LOCI_7
## GCA_000001385.1		ALT_REF_LOCI_8
## GCA_000001395.1		ALT_REF_LOCI_9
## GCA_000006015.1		non-nuclear
#
# Region-Name	Chromosome	Chromosome-Start	Chromosome-Stop	Scaffold-Role	Scaffold-GenBank-Accn	Scaffold-RefSeq-Accn	Assembly-Unit
SNTB2	16	69174054	69258593	novel-patch	GL383557.1	NW_003315946.1	PATCHES
RPH3AL	17	1	252428	novel-patch	GL383563.1	NW_003315952.1	PATCHES
FAM101B	17	252429	296626	fix-patch	GL383562.1	NW_003315951.1	PATCHES
REGION27	17	21250948	21566608	fix-patch	GL383561.1	NW_003315950.1	PATCHES
SLC46A1	17	26645159	26840019	fix-patch	JH159145.1	NW_003871090.1	PATCHES
MYO19	17	34442621	35005379	fix-patch	GL383560.1	NW_003315949.1	PATCHES
SOCS7	17	36372617	36711255	fix-patch	GL383559.1	NW_003315948.1	PATCHES
KRTAP_REGION_1	17	39006985	39589187	novel-patch	GL383564.1	NW_003315953.1	PATCHES
KRTAP_REGION_1	17	39006985	39589187	novel-patch	JH159146.1	NW_003871091.1	PATCHES
KRTAP_REGION_1	17	39006985	39589187	novel-patch	JH159147.1	NW_003871092.1	PATCHES
KRTAP_REGION_1	17	39006985	39589187	novel-patch	JH159148.1	NW_003871093.1	PATCHES
TTC25	17	39869611	40277911	fix-patch	GL582976.1	NW_003571052.1	PATCHES
MAPT	17	43384864	44913631	alt-scaffold	GL000258.1	NT_167251.1	ALT_REF_LOCI_9
PECAM1	17	62273514	62649312	fix-patch	GL383558.1	NW_003315947.1	PATCHES
REGION65	17	65936106	66324470	fix-patch	JH159144.1	NW_003871088.1	PATCHES
REGION28	17	68302419	68520360	novel-patch	GL383565.1	NW_003315954.1	PATCHES
REGION30	17	75216812	75295408	novel-patch	GL383566.1	NW_003315955.1	PATCHES
REGION31	18	47818564	48101162	novel-patch	GL383567.1	NW_003315956.1	PATCHES
REGION32	18	49189306	49348012	novel-patch	GL383570.1	NW_003315959.1	PATCHES
REGION33	18	65090960	65219788	novel-patch	GL383571.1	NW_003315960.1	PATCHES
REGION34	18	70600357	70692016	novel-patch	GL383568.1	NW_003315957.1	PATCHES
REGION35	18	76253467	76412030	novel-patch	GL383569.1	NW_003315958.1	PATCHES
REGION36	18	76694886	76848997	novel-patch	GL383572.1	NW_003315961.1	PATCHES
REGION66	19	8634915	8926179	fix-patch	JH159149.1	NW_003871094.1	PATCHES
REGION52	19	20193557	20845946	fix-patch	GL582977.1	NW_003571053.1	PATCHES
ZNF66	19	20845947	21225187	novel-patch	GL383573.1	NW_003315962.1	PATCHES
REGION37	19	21831092	21991834	novel-patch	GL383575.2	NW_003315964.2	PATCHES
REGION39	19	22303652	22483468	novel-patch	GL383576.1	NW_003315965.1	PATCHES
REGION38	19	34643165	34791855	novel-patch	GL383574.1	NW_003315963.1	PATCHES
LRC	19	54528888	55595686	novel-patch	GL949746.1	NW_003571054.1	PATCHES
LRC	19	54528888	55595686	novel-patch	GL949747.1	NW_003571055.1	PATCHES
LRC	19	54528888	55595686	novel-patch	GL949748.1	NW_003571056.1	PATCHES
LRC	19	54528888	55595686	novel-patch	GL949749.1	NW_003571057.1	PATCHES
LRC	19	54528888	55595686	novel-patch	GL949750.1	NW_003571058.1	PATCHES
LRC	19	54528888	55595686	novel-patch	GL949751.1	NW_003571059.1	PATCHES
LRC	19	54528888	55595686	novel-patch	GL949752.1	NW_003571060.1	PATCHES
LRC	19	54528888	55595686	novel-patch	GL949753.1	NW_003571061.1	PATCHES
REGION40	20	17751747	17874115	novel-patch	GL383577.1	NW_003315966.1	PATCHES
REGION53	20	61031539	61267733	fix-patch	GL582978.1	NW_003571062.1	PATCHES
REGION53	20	61031539	61267733	fix-patch	GL582979.1	NW_003571063.1	PATCHES
REGION41	21	15796462	15847792	novel-patch	GL383578.1	NW_003315967.1	PATCHES
REGION42	21	23474793	23669288	novel-patch	GL383579.1	NW_003315968.1	PATCHES
REGION43	21	34141390	34210247	novel-patch	GL383580.1	NW_003315969.1	PATCHES
TMEM50B	21	34777735	34884866	novel-patch	GL383581.1	NW_003315970.1	PATCHES
APOBEC	22	39280299	39407165	novel-patch	GL383583.1	NW_003315972.1	PATCHES
CYP2D6	22	42477964	42648568	novel-patch	GL383582.1	NW_003315971.1	PATCHES
PAR#1	X	60001	2699520	PAR	na	na	na
REGION59	X	803878	1227822	fix-patch	GL877877.1	NW_003571064.1	PATCHES
REGION67	X	152828210	152898056	fix-patch	JH159150.1	NW_003871103.1	PATCHES
PAR#2	X	154931044	155260560	PAR	na	na	na
PAR#1	Y	10001	2649520	PAR	na	na	na
PAR#2	Y	59034050	59363566	PAR	na	na	na
