# Region Report
# Assembly Name:  GRCh37.p2
# Description:    Genome Reference Consortium Human Build 37 patch release 2 (GRCh37.p2)
# Organism name:  Homo sapiens
# Taxid:          9606
# Submitter:      Genome Reference Consortium
# Date:           2010-8-5
# Assembly type:  haploid-with-alt-loci
# Release type:   patch
# Assembly level: Chromosome
# Genome representation: full
# GenBank Assembly Accession: GCA_000001405.3 (replaced)
# RefSeq Assembly Accession: GCF_000001405.14 (replaced)
# RefSeq Assembly and GenBank Assemblies Identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000001305.1	GCF_000001305.13	Primary Assembly
## GCA_000005045.2	GCF_000005045.1	PATCHES
## GCA_000001315.1	GCF_000001315.1	ALT_REF_LOCI_1
## GCA_000001325.1	GCF_000001325.2	ALT_REF_LOCI_2
## GCA_000001335.1	GCF_000001335.1	ALT_REF_LOCI_3
## GCA_000001345.1	GCF_000001345.1	ALT_REF_LOCI_4
## GCA_000001355.1	GCF_000001355.1	ALT_REF_LOCI_5
## GCA_000001365.1	GCF_000001365.2	ALT_REF_LOCI_6
## GCA_000001375.1	GCF_000001375.1	ALT_REF_LOCI_7
## GCA_000001385.1	GCF_000001385.1	ALT_REF_LOCI_8
## GCA_000001395.1	GCF_000001395.1	ALT_REF_LOCI_9
## GCA_000006015.1	GCF_000006015.1	non-nuclear
#
# Region-Name	Chromosome	Chromosome-Start	Chromosome-Stop	Scaffold-Role	Scaffold-GenBank-Accn	Scaffold-RefSeq-Accn	Assembly-Unit
MCTP1	5	94505561	94590195	novel-patch	GL383530.1	NW_003315918.1	PATCHES
REGION8	5	161800673	161968654	novel-patch	GL383531.1	NW_003315919.1	PATCHES
MHC	6	28477797	33448354	alt-scaffold	GL000250.1	NT_167244.1	ALT_REF_LOCI_1
MHC	6	28477797	33448354	alt-scaffold	GL000251.1	NT_113891.2	ALT_REF_LOCI_2
MHC	6	28477797	33448354	alt-scaffold	GL000252.1	NT_167245.1	ALT_REF_LOCI_3
MHC	6	28477797	33448354	alt-scaffold	GL000253.1	NT_167246.1	ALT_REF_LOCI_4
MHC	6	28477797	33448354	alt-scaffold	GL000254.1	NT_167247.1	ALT_REF_LOCI_5
MHC	6	28477797	33448354	alt-scaffold	GL000255.1	NT_167248.1	ALT_REF_LOCI_6
MHC	6	28477797	33448354	alt-scaffold	GL000256.1	NT_167249.1	ALT_REF_LOCI_7
REGION10	6	80059725	80156628	novel-patch	GL383533.1	NW_003315921.1	PATCHES
REGION11	7	141333209	141446583	novel-patch	GL383534.1	NW_003315922.1	PATCHES
EPPK1_SPATC1	8	144743526	145146062	fix-patch	GL383535.1	NW_003315923.1	PATCHES
SCXB	8	145285645	145659901	fix-patch	GL383536.1	NW_003315924.1	PATCHES
REGION14	9	7428994	7577169	novel-patch	GL383539.1	NW_003315928.1	PATCHES
REGION13	9	72028659	72092013	novel-patch	GL383540.1	NW_003315929.1	PATCHES
MAMDC2	9	72639029	72804234	novel-patch	GL383541.1	NW_003315930.1	PATCHES
REGION15	9	90793962	90842895	novel-patch	GL383542.1	NW_003315931.1	PATCHES
ABO	9	136049442	136369192	fix-patch	GL339450.1	NW_003315925.1	PATCHES
REGION12	9	139136890	139252828	fix-patch	GL383537.1	NW_003315926.1	PATCHES
REGION12	9	139136890	139252828	fix-patch	GL383538.1	NW_003315927.1	PATCHES
FAM23A_MRC1	10	17613209	18252930	fix-patch	GL383543.1	NW_003315932.1	PATCHES
REGION16	10	27574584	27706537	novel-patch	GL383545.1	NW_003315934.1	PATCHES
REGION18	10	45670681	45964419	novel-patch	GL383546.1	NW_003315935.1	PATCHES
REGION17	10	133258319	133381404	fix-patch	GL383544.1	NW_003315933.1	PATCHES
REGION19	11	25191953	25340626	novel-patch	GL383547.1	NW_003315936.1	PATCHES
REGION21	12	28148967	28263711	novel-patch	GL383549.1	NW_003315938.1	PATCHES
REGION22	12	58326520	58486538	novel-patch	GL383550.1	NW_003315939.1	PATCHES
REGION23	12	59323046	59454651	novel-patch	GL383552.1	NW_003315941.1	PATCHES
REGION24	12	101503370	101652073	novel-patch	GL383553.1	NW_003315942.1	PATCHES
REGION20	12	126711744	126890020	novel-patch	GL383551.1	NW_003315940.1	PATCHES
GALNT9	12	132806993	132967794	fix-patch	GL383548.1	NW_003315937.1	PATCHES
REGION25	15	28557187	28842093	novel-patch	GL383554.1	NW_003315943.1	PATCHES
MEGF11	15	66200521	66577156	novel-patch	GL383555.1	NW_003315944.1	PATCHES
REGION26	16	55822434	56002460	novel-patch	GL383556.1	NW_003315945.1	PATCHES
SNTB2	16	69174054	69258593	novel-patch	GL383557.1	NW_003315946.1	PATCHES
RPH3AL	17	1	252428	novel-patch	GL383563.1	NW_003315952.1	PATCHES
FAM101B	17	252429	296626	fix-patch	GL383562.1	NW_003315951.1	PATCHES
REGION27	17	21250948	21566608	fix-patch	GL383561.1	NW_003315950.1	PATCHES
MYO19	17	34442621	35005379	fix-patch	GL383560.1	NW_003315949.1	PATCHES
SOCS7	17	36372617	36711255	fix-patch	GL383559.1	NW_003315948.1	PATCHES
REGION29	17	39463362	39589187	novel-patch	GL383564.1	NW_003315953.1	PATCHES
MAPT	17	43384864	44913631	alt-scaffold	GL000258.1	NT_167251.1	ALT_REF_LOCI_9
PECAM1	17	62273514	62649312	fix-patch	GL383558.1	NW_003315947.1	PATCHES
REGION28	17	68302419	68520360	novel-patch	GL383565.1	NW_003315954.1	PATCHES
REGION30	17	75216812	75295408	novel-patch	GL383566.1	NW_003315955.1	PATCHES
REGION31	18	47818564	48101162	novel-patch	GL383567.1	NW_003315956.1	PATCHES
REGION32	18	49189306	49348012	novel-patch	GL383570.1	NW_003315959.1	PATCHES
REGION33	18	65090960	65219788	novel-patch	GL383571.1	NW_003315960.1	PATCHES
REGION34	18	70600357	70692016	novel-patch	GL383568.1	NW_003315957.1	PATCHES
REGION35	18	76253467	76412030	novel-patch	GL383569.1	NW_003315958.1	PATCHES
REGION36	18	76694886	76848997	novel-patch	GL383572.1	NW_003315961.1	PATCHES
ZNF66	19	20845947	21225187	novel-patch	GL383573.1	NW_003315962.1	PATCHES
REGION37	19	21831092	21991838	novel-patch	GL383575.1	NW_003315964.1	PATCHES
REGION39	19	22303652	22483468	novel-patch	GL383576.1	NW_003315965.1	PATCHES
REGION38	19	34643165	34791855	novel-patch	GL383574.1	NW_003315963.1	PATCHES
REGION40	20	17751747	17874115	novel-patch	GL383577.1	NW_003315966.1	PATCHES
REGION41	21	15796462	15847792	novel-patch	GL383578.1	NW_003315967.1	PATCHES
REGION42	21	23474793	23669288	novel-patch	GL383579.1	NW_003315968.1	PATCHES
REGION43	21	34141390	34210247	novel-patch	GL383580.1	NW_003315969.1	PATCHES
TMEM50B	21	34777735	34884866	novel-patch	GL383581.1	NW_003315970.1	PATCHES
APOBEC	22	39280299	39407165	novel-patch	GL383583.1	NW_003315972.1	PATCHES
CYP2D6	22	42477964	42648568	novel-patch	GL383582.1	NW_003315971.1	PATCHES
PAR#1	X	60001	2699520	PAR	na	na	na
PAR#2	X	154931044	155260560	PAR	na	na	na
PAR#1	Y	10001	2649520	PAR	na	na	na
PAR#2	Y	59034050	59363566	PAR	na	na	na
